timeago,scale,city,region
"
      2022-07-05 16:29:50 UTC
    ",4.1 magnitude,Pyay,Bago
"
      2022-07-03 02:26:13 UTC
    ",5.1 magnitude,Myaydo,Magway
"
      2022-06-29 18:01:58 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2022-06-25 00:47:29 UTC
    ",4.0 magnitude,Chauk,Magway
"
      2022-06-13 15:44:41 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2022-06-02 22:40:29 UTC
    ",4.2 magnitude,Mogok,Mandalay
"
      2022-06-02 03:25:38 UTC
    ",4.3 magnitude,Pathein,Ayeyarwady
"
      2022-06-01 16:43:15 UTC
    ",5.2 magnitude,Pathein,Ayeyarwady
"
      2022-05-21 03:14:07 UTC
    ",4.5 magnitude,Falam,Chin
"
      2022-05-20 18:39:20 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2022-05-17 23:50:01 UTC
    ",4.4 magnitude,Taunggyi,Shan
"
      2022-05-17 22:49:55 UTC
    ",4.2 magnitude,Taunggyi,Shan
"
      2022-05-13 12:26:08 UTC
    ",4.2 magnitude,Myitkyina,Kachin
"
      2022-05-13 07:09:30 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2022-05-01 15:15:40 UTC
    ",4.9 magnitude,Falam,Chin
"
      2022-04-16 23:51:26 UTC
    ",4.0 magnitude,Phek,Manipur
"
      2022-04-10 00:06:16 UTC
    ",4.4 magnitude,Taunggyi,Shan
"
      2022-03-31 01:18:26 UTC
    ",4.0 magnitude,Falam,Chin
"
      2022-03-21 06:36:04 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2022-03-15 00:25:52 UTC
    ",4.1 magnitude,Falam,Chin
"
      2022-03-13 01:11:03 UTC
    ",4.5 magnitude,Monywa,Sagain
"
      2022-02-28 07:54:41 UTC
    ",4.3 magnitude,Sagaing,Sagain
"
      2022-02-21 15:23:43 UTC
    ",4.6 magnitude,Hakha,Chin
"
      2022-02-11 19:16:50 UTC
    ",4.9 magnitude,Myitkyina,Kachin
"
      2022-01-21 10:12:31 UTC
    ",5.4 magnitude,Falam,Chin
"
      2022-01-18 02:22:16 UTC
    ",4.4 magnitude,Churāchāndpur,Manipur
"
      2022-01-14 08:29:06 UTC
    ",4.1 magnitude,Wāngjing,Manipur
"
      2022-01-12 20:46:59 UTC
    ",4.6 magnitude,Kohima,Nagaland
"
      2021-12-27 20:13:14 UTC
    ",4.7 magnitude,Falam,Chin
"
      2021-12-24 12:47:29 UTC
    ",4.2 magnitude,Pyu,Bago
"
      2021-12-16 20:13:21 UTC
    ",4.5 magnitude,Falam,Chin
"
      2021-12-12 12:08:25 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2021-12-10 04:14:52 UTC
    ",4.3 magnitude,Tuensang,Nagaland
"
      2021-12-06 00:25:39 UTC
    ",5.0 magnitude,Mogok,Mandalay
"
      2021-11-29 21:22:06 UTC
    ",4.4 magnitude,Yenangyaung,Magway
"
      2021-11-29 13:24:26 UTC
    ",4.4 magnitude,Hakha,Chin
"
      2021-11-28 17:21:21 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2021-11-28 17:02:21 UTC
    ",4.3 magnitude,Margherita,Arunachal Pradesh
"
      2021-11-28 02:18:54 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2021-11-25 23:45:41 UTC
    ",6.2 magnitude,Hakha,Chin
"
      2021-11-20 11:12:18 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2021-11-12 17:48:17 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2021-11-08 02:18:33 UTC
    ",4.5 magnitude,Wāngjing,Manipur
"
      2021-11-06 13:09:16 UTC
    ",4.4 magnitude,Mawlaik,Sagain
"
      2021-11-02 13:29:31 UTC
    ",4.8 magnitude,Khonsa,Arunachal Pradesh
"
      2021-10-19 00:44:09 UTC
    ",4.8 magnitude,Saiha,Mizoram
"
      2021-10-16 01:46:25 UTC
    ",4.0 magnitude,Churāchāndpur,Manipur
"
      2021-10-07 18:28:03 UTC
    ",5.5 magnitude,Monywa,Sagain
"
      2021-10-02 22:01:42 UTC
    ",4.1 magnitude,Myitkyina,Kachin
"
      2021-09-19 19:24:04 UTC
    ",5.1 magnitude,Phek,Manipur
"
      2021-09-16 04:49:43 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2021-09-15 13:29:41 UTC
    ",4.5 magnitude,Khawhai,Mizoram
"
      2021-09-04 12:05:16 UTC
    ",4.5 magnitude,Khonsa,Arunachal Pradesh
"
      2021-08-24 02:15:10 UTC
    ",4.6 magnitude,Myitkyina,Kachin
"
      2021-08-22 12:22:03 UTC
    ",4.6 magnitude,Monywa,Sagain
"
      2021-08-17 15:32:24 UTC
    ",4.9 magnitude,Wāngjing,Manipur
"
      2021-08-10 03:18:13 UTC
    ",4.8 magnitude,Shwebo,Sagain
"
      2021-08-06 20:16:07 UTC
    ",4.5 magnitude,Pakokku,Magway
"
      2021-08-06 12:47:47 UTC
    ",4.4 magnitude,Mawlaik,Sagain
"
      2021-08-04 22:10:02 UTC
    ",4.4 magnitude,Phek,Manipur
"
      2021-07-29 08:39:27 UTC
    ",5.5 magnitude,Shwebo,Sagain
"
      2021-07-26 05:03:30 UTC
    ",4.9 magnitude,Wāngjing,Manipur
"
      2021-07-14 20:34:51 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2021-07-14 20:10:53 UTC
    ",4.2 magnitude,Hakha,Chin
"
      2021-07-09 00:26:25 UTC
    ",4.6 magnitude,Phek,Manipur
"
      2021-06-15 14:46:08 UTC
    ",4.8 magnitude,Myitkyina,Kachin
"
      2021-06-12 10:00:49 UTC
    ",4.9 magnitude,Myitkyina,Kachin
"
      2021-05-25 19:23:07 UTC
    ",4.2 magnitude,Mawlaik,Sagain
"
      2021-05-23 01:26:40 UTC
    ",4.3 magnitude,Yairipok,Manipur
"
      2021-05-22 00:38:31 UTC
    ",4.3 magnitude,Taungdwingyi,Magway
